model_name,count,percentage
GPT-4o,9,9.47
GPT-4,8,8.42
LLaMA,6,6.32
ChatGPT,5,5.26
Llama3.1-405B-Instruct,3,3.16
meta-llama/Llama-3.3-70B-Instruct,3,3.16
GPT-4 Turbo,3,3.16
Azure GPT-4 Turbo,3,3.16
gpt-4o,3,3.16
DeepSeek-R1,3,3.16
GPT-3.5-Turbo,3,3.16
Qwen/QwQ-32B-Preview,2,2.11
Claude,2,2.11
GPT-3.5,2,2.11
meta-llama/Meta-Llama-3.1-405B,2,2.11
Qwen3-235B-A22B-Instruct-2507,2,2.11
QwQ 32B Preview,1,1.05
llama3.1-405b,1,1.05
Llama-2-70B-Chat,1,1.05
Olmo-3-7B-Think,1,1.05
nvidia/NVIDIA-Nemotron-3-Nano-30B,1,1.05
Llama-3.1-405B-Instruct,1,1.05
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,1,1.05
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1,1,1.05
DeepSeek,1,1.05
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,1,1.05
perplexity-ai/r1-1776,1,1.05
gpt-3.5-turbo,1,1.05
Olmo 3,1,1.05
InstructGPT,1,1.05
gpt-4-0125-preview,1,1.05
b2_math_fasttext_pos_numina_neg_natural_reasoning,1,1.05
Olmo-3-32B-Think,1,1.05
Claude 3.5 Sonnet,1,1.05
gemini-1.5-flash,1,1.05
openai/gpt-5-nano,1,1.05
Llama 3.3 70b,1,1.05
Deepseek-R1,1,1.05
LLama-3.3-70B,1,1.05
gpt-3.5,1,1.05
DeepSeek-R1-Distill-Qwen-32B,1,1.05
Phi-3-medium-128k-instruct,1,1.05
gpt-4o-mini-2024-07-18,1,1.05
OpenMathInstruct-1-1.8m-ja,1,1.05
GPT-4.1,1,1.05
allenai/Olmo-3-7B-RL-Zero-Mix,1,1.05
Orca-3-Mistral,1,1.05
Claude-sonnet-4-5,1,1.05
Olmo 3 Instruct 7B,1,1.05
gpt-4-0613,1,1.05
gemini-2.5-pro-exp-03-25,1,1.05
GPT-5,1,1.05
