dataset_id,link,tags,description
open-llm-leaderboard-old/details_qualis2006__llama-2-7b-int4-python-code-18k,https://huggingface.co/datasets/open-llm-leaderboard-old/details_qualis2006__llama-2-7b-int4-python-code-18k,['region:us'],"
	
		
		Dataset Card for Evaluation run of qualis2006/llama-2-7b-int4-python-code-18k
	


	
		
		Dataset Summary
	

Dataset automatically created during the evaluation run of model qualis2006/llama-2-7b-int4-python-code-18k on the Open LLM Leaderboard.
The dataset is composed of 64 configuration, each one coresponding to one of the evaluated task.
The dataset has been created from 2 run(s). Each run can be found as a specific split in each configuration, the split being named using the… See the full description on the dataset page: https://huggingface.co/datasets/open-llm-leaderboard-old/details_qualis2006__llama-2-7b-int4-python-code-18k."
flytech/llama-python-codes-30k,https://huggingface.co/datasets/flytech/llama-python-codes-30k,"['task_categories:question-answering', 'task_categories:text-generation', 'language:en', 'license:llama2', 'size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'code', 'python', 'instruct', 'llama', 'flytech']","
	
		
		Python Codes - 30k examples, Llama1&2 tokenized dataset
	





	
		
	
	
		Author
	

FlyTech
For general guide on how to create, quantize, merge or inference the model and more, visit: 
hackmd.io/my_first_ai

	
	
	
		Overview
	

This dataset serves as a rich resource for various Natural Language Processing tasks such as:
Question Answering
Text Generation
Text-to-Text Generation

It primarily focuses on instructional tasks in Python, tokenized specifically for the Llama architecture.… See the full description on the dataset page: https://huggingface.co/datasets/flytech/llama-python-codes-30k."
open-llm-leaderboard-old/details_NobodyExistsOnTheInternet__code-llama-70b-python-instruct,https://huggingface.co/datasets/open-llm-leaderboard-old/details_NobodyExistsOnTheInternet__code-llama-70b-python-instruct,['region:us'],"
	
		
		Dataset Card for Evaluation run of NobodyExistsOnTheInternet/code-llama-70b-python-instruct
	



Dataset automatically created during the evaluation run of model NobodyExistsOnTheInternet/code-llama-70b-python-instruct on the Open LLM Leaderboard.
The dataset is composed of 63 configuration, each one coresponding to one of the evaluated task.
The dataset has been created from 1 run(s). Each run can be found as a specific split in each configuration, the split being named using the… See the full description on the dataset page: https://huggingface.co/datasets/open-llm-leaderboard-old/details_NobodyExistsOnTheInternet__code-llama-70b-python-instruct."
RaagulQB/CodeExercise-Python-27k-llama-formatted,https://huggingface.co/datasets/RaagulQB/CodeExercise-Python-27k-llama-formatted,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_agreement,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_agreement,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_agreement_f,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_agreement_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_20_tok_after_state,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_20_tok_after_state,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_20_tok_after_state_f,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_20_tok_after_state_f,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_10_tok_after_state,https://huggingface.co/datasets/evanellis/codeforces_llama3.3_70B_human_with_Llama-3.1-8B-Instruct_blind_null_10_tok_after_state,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
