dataset_id,link,tags,description,score
woctordho/dataclaw,https://huggingface.co/datasets/woctordho/dataclaw,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'gemini-cli', 'opencode', 'openclaw', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'anthropic/claude-opus-4-6', 'anthropic/claude-sonnet-4-6', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'gemini-2.5-flash-lite', 'gemini-2.5-pro', 'gemini-3-flash-preview', 'gemini-3-pro-preview', 'gemini-3.1-pro-preview-customtools', 'google/gemini-3-flash-preview', 'google/gemini-3-pro-preview', 'google/gemini-3.1-pro-preview', 'gpt-5.2-codex', 'gpt-5.3-codex', 'openai/gpt-5.3-codex', 'opencode/big-pickle', 'opencode/kimi-k2.5-free', 'opencode/minimax-m2.5-free', 'qwen-code/coder-model']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same with their data — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value… See the full description on the dataset page: https://huggingface.co/datasets/woctordho/dataclaw.",19
MRiabov/dataclaw-march-26,https://huggingface.co/datasets/MRiabov/dataclaw-march-26,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'codex-cli', 'gemini-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding']","
	
		
		Coding Agent Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
775


Projects
8


Last updated
2026-03-16


	


	
		
		Models
	


	
		
Model
Sessions


		
gpt-5.3-codex
288


gemini-3-flash-preview
239


gpt-5.4
196


gemini-3-pro-preview
28


gpt-5.2-codex
10


openai-codex
7


gemini-2.5-flash
5


gpt-5.1-codex-mini
2


	


	
		
	
	
		Schema
	

Each line in dataclaw_export.envfullscrub.jsonl is… See the full description on the dataset page: https://huggingface.co/datasets/MRiabov/dataclaw-march-26.",19
woctordho/dataclaw-windows,https://huggingface.co/datasets/woctordho/dataclaw-windows,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'gemini-cli', 'opencode', 'openclaw', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'anthropic/claude-opus-4-6', 'anthropic/claude-sonnet-4-5', 'anthropic/claude-sonnet-4-6', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gemini-3-flash-preview', 'gemini-3-pro-preview', 'gemini-3.1-pro-preview', 'google/gemini-3-flash-preview', 'google/gemini-3-pro-preview', 'google/gemini-3.1-pro-preview', 'gpt-5.2-codex', 'groq/openai/gpt-oss-120b', 'openai/gpt-5.3-codex', 'opencode/big-pickle', 'opencode/glm-5-free', 'opencode/kimi-k2.5-free', 'opencode/minimax-m2.5-free', 'qwen-code/coder-model', 'qwen-code/qwen3-coder-plus']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same with their data — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value… See the full description on the dataset page: https://huggingface.co/datasets/woctordho/dataclaw-windows.",19
zhiyaowang/dataclaw-zhiyaowang,https://huggingface.co/datasets/zhiyaowang/dataclaw-zhiyaowang,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'gemini-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'MiniMax-M2.5', 'gemini-3.1-pro-preview', 'gpt-5.2', 'gpt-5.2-codex', 'gpt-5.3-codex', 'kimi-k2.5', 'minimax-cn-coding-plan/MiniMax-M2.5', 'minimax-cn-coding-plan/MiniMax-M2.5-highspeed', 'opencode/minimax-m2.1-free', 'opencode/minimax-m2.5-free', 'zhipuai-coding-plan/glm-5']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
73… See the full description on the dataset page: https://huggingface.co/datasets/zhiyaowang/dataclaw-zhiyaowang.",19
tillg/dataclaw-tillg,https://huggingface.co/datasets/tillg/dataclaw-tillg,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'devstral:24b', 'gpt-oss:20b']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
123


Projects
18


Input tokens
596.1M


Output tokens
353K


Last updated
2026-02-25


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-5-20251101
90


claude-opus-4-6
28


devstral:24b
2


gpt-oss:20b
2


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{… See the full description on the dataset page: https://huggingface.co/datasets/tillg/dataclaw-tillg.",19
leoikin/dataclaw-peteromallet,https://huggingface.co/datasets/leoikin/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
549


Projects
14


Input tokens
15.1B


Output tokens
4.6M


Last updated
2026-02-24


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
270


claude-opus-4-5-20251101
256


claude-sonnet-4-6
16


claude-haiku-4-5-20251001
6


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one… See the full description on the dataset page: https://huggingface.co/datasets/leoikin/dataclaw-peteromallet.",17
Batman787/dataclaw-Batman787,https://huggingface.co/datasets/Batman787/dataclaw-Batman787,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-opus-4-5-20251101', 'claude-opus-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
6


Projects
5


Input tokens
27.8M


Output tokens
1K


Last updated
2026-02-25


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-5-20251101
5


claude-opus-4-6
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"":… See the full description on the dataset page: https://huggingface.co/datasets/Batman787/dataclaw-Batman787.",17
ajdriscod/dataclaw-peteromallet,https://huggingface.co/datasets/ajdriscod/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
549


Projects
14


Input tokens
15.1B


Output tokens
4.6M


Last updated
2026-02-24


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
270


claude-opus-4-5-20251101
256


claude-sonnet-4-6
16


claude-haiku-4-5-20251001
6


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one… See the full description on the dataset page: https://huggingface.co/datasets/ajdriscod/dataclaw-peteromallet.",17
sunsun123new/dataclaw-sunsun123new,https://huggingface.co/datasets/sunsun123new/dataclaw-sunsun123new,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-opus-4-5-20251101', 'claude-opus-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
9


Projects
3


Input tokens
10.4M


Output tokens
17K


Last updated
2026-02-25


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-5-20251101
6


claude-opus-4-6
3


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"":… See the full description on the dataset page: https://huggingface.co/datasets/sunsun123new/dataclaw-sunsun123new.",17
emperorfutures/dataclaw-code2,https://huggingface.co/datasets/emperorfutures/dataclaw-code2,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
549


Projects
14


Input tokens
15.1B


Output tokens
4.6M


Last updated
2026-02-24


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
270


claude-opus-4-5-20251101
256


claude-sonnet-4-6
16


claude-haiku-4-5-20251001
6


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one… See the full description on the dataset page: https://huggingface.co/datasets/emperorfutures/dataclaw-code2.",17
