dataset_id,link,closed_model,model_name
HAD653/GSM8K-OpenMath-MathReason-13k,https://huggingface.co/datasets/HAD653/GSM8K-OpenMath-MathReason-13k,False,
HAD653/OpenMath-Easy-CoT-Verified-120B,https://huggingface.co/datasets/HAD653/OpenMath-Easy-CoT-Verified-120B,False,
qingy2024/OCTAL-Math-CoT-47k,https://huggingface.co/datasets/qingy2024/OCTAL-Math-CoT-47k,True,QwQ 32B Preview
allenai/tulu-3-sft-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-mixture,False,
yingyingzhang/metamath-qwen2-math,https://huggingface.co/datasets/yingyingzhang/metamath-qwen2-math,False,
allenai/tulu-3-sft-olmo-2-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-olmo-2-mixture,False,
MaziyarPanahi/OpenMathReasoning_ShareGPT,https://huggingface.co/datasets/MaziyarPanahi/OpenMathReasoning_ShareGPT,False,
Disentangled-Math-Reasoning/disentangled-gsm8k,https://huggingface.co/datasets/Disentangled-Math-Reasoning/disentangled-gsm8k,False,
Jackrong/GPT-OSS-120B-Distilled-Reasoning-math,https://huggingface.co/datasets/Jackrong/GPT-OSS-120B-Distilled-Reasoning-math,False,
nvidia/OpenMathInstruct-1,https://huggingface.co/datasets/nvidia/OpenMathInstruct-1,False,
HAD653/OpenMath-Difficulty-Annotated,https://huggingface.co/datasets/HAD653/OpenMath-Difficulty-Annotated,False,
johnolafenwa/highschool-math-reasoning-rl,https://huggingface.co/datasets/johnolafenwa/highschool-math-reasoning-rl,False,
aloks16/mathreasoning,https://huggingface.co/datasets/aloks16/mathreasoning,False,
mssfj/openmathinstruct-2_formatted,https://huggingface.co/datasets/mssfj/openmathinstruct-2_formatted,False,
johnolafenwa/highschool-math-reasoning,https://huggingface.co/datasets/johnolafenwa/highschool-math-reasoning,False,
nvidia/OpenMath-MATH-masked,https://huggingface.co/datasets/nvidia/OpenMath-MATH-masked,False,
MathGenie/MATH-GSM8K-Tool-81K,https://huggingface.co/datasets/MathGenie/MATH-GSM8K-Tool-81K,True,GPT-4
PaddlePaddle/GSM8K_distilled_zh,https://huggingface.co/datasets/PaddlePaddle/GSM8K_distilled_zh,True,DeepSeek-R1
APM28/OpenMathInstruct-1,https://huggingface.co/datasets/APM28/OpenMathInstruct-1,False,
EleutherAI/rh-clean-control-sft,https://huggingface.co/datasets/EleutherAI/rh-clean-control-sft,False,
nvidia/OpenMath-GSM8K-masked,https://huggingface.co/datasets/nvidia/OpenMath-GSM8K-masked,False,
Roman190928/MathReasoning-2250000,https://huggingface.co/datasets/Roman190928/MathReasoning-2250000,False,
Roman190928/MathReasoning-325000,https://huggingface.co/datasets/Roman190928/MathReasoning-325000,False,
notbadai/math_reasoning,https://huggingface.co/datasets/notbadai/math_reasoning,False,
Roman190928/MathReasoning-2750000,https://huggingface.co/datasets/Roman190928/MathReasoning-2750000,False,
169Pi/mathreasoning,https://huggingface.co/datasets/169Pi/mathreasoning,False,
YYF42/OpenMathReasoning-QWQ-17k,https://huggingface.co/datasets/YYF42/OpenMathReasoning-QWQ-17k,True,
UWNSL/MATH_training_split_short_cot,https://huggingface.co/datasets/UWNSL/MATH_training_split_short_cot,False,
naimulislam/reasoning-math-advanced-1m,https://huggingface.co/datasets/naimulislam/reasoning-math-advanced-1m,False,
dicta-il/MathCOT-oss-vs-DeepSeek,https://huggingface.co/datasets/dicta-il/MathCOT-oss-vs-DeepSeek,False,
HradilSerhii/OpenMathReasoning,https://huggingface.co/datasets/HradilSerhii/OpenMathReasoning,False,
BAAI/AquilaEdu-Instruct,https://huggingface.co/datasets/BAAI/AquilaEdu-Instruct,False,
rubenroy/GammaCorpus-CoT-Math-170k,https://huggingface.co/datasets/rubenroy/GammaCorpus-CoT-Math-170k,False,
Disentangled-Math-Reasoning/disentangled-svamp,https://huggingface.co/datasets/Disentangled-Math-Reasoning/disentangled-svamp,False,
UWNSL/MATH_training_split_long_cot,https://huggingface.co/datasets/UWNSL/MATH_training_split_long_cot,True,Qwen/QwQ-32B-Preview
567-labs/gsm8k,https://huggingface.co/datasets/567-labs/gsm8k,False,
jobs-git/OpenMathReasoning,https://huggingface.co/datasets/jobs-git/OpenMathReasoning,False,
Roman190928/MathReasoning-125000,https://huggingface.co/datasets/Roman190928/MathReasoning-125000,False,
Roman190928/MathReasoning-100000,https://huggingface.co/datasets/Roman190928/MathReasoning-100000,False,
deepmind/math_dataset,https://huggingface.co/datasets/deepmind/math_dataset,False,
allenai/Dolci-Think-RL-7B,https://huggingface.co/datasets/allenai/Dolci-Think-RL-7B,True,Olmo-3-7B-Think
allenai/Dolci-Think-RL-32B,https://huggingface.co/datasets/allenai/Dolci-Think-RL-32B,False,
Roman190928/MathReasoning-75000,https://huggingface.co/datasets/Roman190928/MathReasoning-75000,False,
Roman190928/MathReasoning-50000,https://huggingface.co/datasets/Roman190928/MathReasoning-50000,False,
Roman190928/MathReasoning-15000,https://huggingface.co/datasets/Roman190928/MathReasoning-15000,False,
Roman190928/MathReasoning-1500000,https://huggingface.co/datasets/Roman190928/MathReasoning-1500000,False,
Roman190928/MathReasoning-2500000,https://huggingface.co/datasets/Roman190928/MathReasoning-2500000,False,
Roman190928/MathReasoning-3000000,https://huggingface.co/datasets/Roman190928/MathReasoning-3000000,False,
Roman190928/MathReasoning-1000000,https://huggingface.co/datasets/Roman190928/MathReasoning-1000000,False,
kevin009/olympiad-math-stepwise-solutions-llama3-20k,https://huggingface.co/datasets/kevin009/olympiad-math-stepwise-solutions-llama3-20k,False,
allenai/tulu-v1-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v1-sft-mixture,False,
shuyuej/GSM8K-Consistency,https://huggingface.co/datasets/shuyuej/GSM8K-Consistency,False,
meta-math/GSM8K_zh,https://huggingface.co/datasets/meta-math/GSM8K_zh,True,GPT-3.5-Turbo
Thomas-X-Yang/gsm8k-prolog,https://huggingface.co/datasets/Thomas-X-Yang/gsm8k-prolog,True,GPT-4
meta-math/MetaMathQA_GSM8K_zh,https://huggingface.co/datasets/meta-math/MetaMathQA_GSM8K_zh,True,GPT-3.5-Turbo
azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-30b-v2,https://huggingface.co/datasets/azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-30b-v2,False,
Roman190928/MathReasoning-175000,https://huggingface.co/datasets/Roman190928/MathReasoning-175000,False,
Roman190928/MathReasoning-600000,https://huggingface.co/datasets/Roman190928/MathReasoning-600000,False,
oieieio/gsm8k,https://huggingface.co/datasets/oieieio/gsm8k,False,
MMoshtaghi/gsm8k-user-assistant,https://huggingface.co/datasets/MMoshtaghi/gsm8k-user-assistant,False,
Roman190928/MathReasoning-550000,https://huggingface.co/datasets/Roman190928/MathReasoning-550000,False,
Roman190928/MathReasoning-450000,https://huggingface.co/datasets/Roman190928/MathReasoning-450000,False,
Roman190928/MathReasoning-350000,https://huggingface.co/datasets/Roman190928/MathReasoning-350000,False,
Roman190928/MathReasoning-300000,https://huggingface.co/datasets/Roman190928/MathReasoning-300000,False,
Roman190928/MathReasoning-35000,https://huggingface.co/datasets/Roman190928/MathReasoning-35000,False,
Roman190928/MathReasoning-90000,https://huggingface.co/datasets/Roman190928/MathReasoning-90000,False,
Roman190928/MathReasoning-67000,https://huggingface.co/datasets/Roman190928/MathReasoning-67000,False,
Roman190928/MathReasoning-900000,https://huggingface.co/datasets/Roman190928/MathReasoning-900000,False,
Roman190928/MathReasoning-750000,https://huggingface.co/datasets/Roman190928/MathReasoning-750000,False,
Roman190928/MathReasoning-800000,https://huggingface.co/datasets/Roman190928/MathReasoning-800000,False,
Roman190928/MathReasoning-700000,https://huggingface.co/datasets/Roman190928/MathReasoning-700000,False,
Roman190928/MathReasoning-650000,https://huggingface.co/datasets/Roman190928/MathReasoning-650000,False,
Roman190928/MathReasoning-22500,https://huggingface.co/datasets/Roman190928/MathReasoning-22500,False,
Roman190928/MathReasoning-25000,https://huggingface.co/datasets/Roman190928/MathReasoning-25000,False,
Roman190928/MathReasoning-17500,https://huggingface.co/datasets/Roman190928/MathReasoning-17500,False,
Roman190928/MathReasoning-40000,https://huggingface.co/datasets/Roman190928/MathReasoning-40000,False,
Roman190928/MathReasoning-9000000,https://huggingface.co/datasets/Roman190928/MathReasoning-9000000,False,
Roman190928/MathReasoning-9500000,https://huggingface.co/datasets/Roman190928/MathReasoning-9500000,False,
Roman190928/MathReasoning-8000000,https://huggingface.co/datasets/Roman190928/MathReasoning-8000000,False,
Roman190928/MathReasoning-850000,https://huggingface.co/datasets/Roman190928/MathReasoning-850000,False,
Quardo/gsm8k-thinking,https://huggingface.co/datasets/Quardo/gsm8k-thinking,True,llama3.1-405b
gretelai/gretel-math-gsm8k-v1,https://huggingface.co/datasets/gretelai/gretel-math-gsm8k-v1,True,meta-llama/Meta-Llama-3.1-405B
thunder-research-group/SNU_Ko-GSM8K,https://huggingface.co/datasets/thunder-research-group/SNU_Ko-GSM8K,False,
azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-235b-v1,https://huggingface.co/datasets/azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-235b-v1,True,Qwen3-235B-A22B-Instruct-2507
marciodiaz/openmath-nondual,https://huggingface.co/datasets/marciodiaz/openmath-nondual,True,
azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-30b-v1,https://huggingface.co/datasets/azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-30b-v1,False,
azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-235b-v2,https://huggingface.co/datasets/azuki-digital/ft-llm-2026-synthetic-ja-math-qwen-235b-v2,True,Qwen3-235B-A22B-Instruct-2507
mssfj/openmathinstruct-2_structured-1000,https://huggingface.co/datasets/mssfj/openmathinstruct-2_structured-1000,False,
Roman190928/MathReasoning-2500,https://huggingface.co/datasets/Roman190928/MathReasoning-2500,False,
Roman190928/MathReasoning-5000,https://huggingface.co/datasets/Roman190928/MathReasoning-5000,False,
When-Does-Reasoning-Matter/math-reasoning-ift-pairs,https://huggingface.co/datasets/When-Does-Reasoning-Matter/math-reasoning-ift-pairs,False,
Roman190928/MathReasoning-1000,https://huggingface.co/datasets/Roman190928/MathReasoning-1000,False,
thesven/gsm8k-reasoning,https://huggingface.co/datasets/thesven/gsm8k-reasoning,False,
Roman190928/MathReasoning-10000,https://huggingface.co/datasets/Roman190928/MathReasoning-10000,False,
Roman190928/MathReasoning-30000,https://huggingface.co/datasets/Roman190928/MathReasoning-30000,False,
Roman190928/MathReasoning-20000,https://huggingface.co/datasets/Roman190928/MathReasoning-20000,False,
openai/gsm8k,https://huggingface.co/datasets/openai/gsm8k,False,
Roman190928/MathReasoning-500000,https://huggingface.co/datasets/Roman190928/MathReasoning-500000,False,
Roman190928/MathReasoning-400000,https://huggingface.co/datasets/Roman190928/MathReasoning-400000,False,
Roman190928/MathReasoning-250000,https://huggingface.co/datasets/Roman190928/MathReasoning-250000,False,
Roman190928/MathReasoning-8500000,https://huggingface.co/datasets/Roman190928/MathReasoning-8500000,False,
Roman190928/MathReasoning-12500,https://huggingface.co/datasets/Roman190928/MathReasoning-12500,False,
Roman190928/MathReasoning-6767,https://huggingface.co/datasets/Roman190928/MathReasoning-6767,False,
Roman190928/MathReasoning-7500,https://huggingface.co/datasets/Roman190928/MathReasoning-7500,False,
erayalp/medium_turkish_math_reasoning,https://huggingface.co/datasets/erayalp/medium_turkish_math_reasoning,False,
Roman190928/MathReasoning-3500000,https://huggingface.co/datasets/Roman190928/MathReasoning-3500000,False,
Roman190928/MathReasoning-7000000,https://huggingface.co/datasets/Roman190928/MathReasoning-7000000,False,
Roman190928/MathReasoning-7500000,https://huggingface.co/datasets/Roman190928/MathReasoning-7500000,False,
Roman190928/MathReasoning-6500000,https://huggingface.co/datasets/Roman190928/MathReasoning-6500000,False,
Roman190928/MathReasoning-6000000,https://huggingface.co/datasets/Roman190928/MathReasoning-6000000,False,
Roman190928/MathReasoning-5500000,https://huggingface.co/datasets/Roman190928/MathReasoning-5500000,False,
Roman190928/MathReasoning-5000000,https://huggingface.co/datasets/Roman190928/MathReasoning-5000000,False,
est-ai/math-reasoning-dpo,https://huggingface.co/datasets/est-ai/math-reasoning-dpo,False,
Roman190928/MathReasoning-4500000,https://huggingface.co/datasets/Roman190928/MathReasoning-4500000,False,
Roman190928/MathReasoning-4000000,https://huggingface.co/datasets/Roman190928/MathReasoning-4000000,False,
Roman190928/MathReasoning-1750000,https://huggingface.co/datasets/Roman190928/MathReasoning-1750000,False,
Roman190928/MathReasoning-6000,https://huggingface.co/datasets/Roman190928/MathReasoning-6000,False,
Roman190928/MathReasoning-4000,https://huggingface.co/datasets/Roman190928/MathReasoning-4000,False,
Roman190928/MathReasoning-10000000,https://huggingface.co/datasets/Roman190928/MathReasoning-10000000,False,
Roman190928/MathReasoning-3000,https://huggingface.co/datasets/Roman190928/MathReasoning-3000,False,
Roman190928/MathReasoning-200000,https://huggingface.co/datasets/Roman190928/MathReasoning-200000,False,
ximzdawn/GSM8K_zh,https://huggingface.co/datasets/ximzdawn/GSM8K_zh,True,GPT-3.5-Turbo
Roman190928/MathReasoning-1250000,https://huggingface.co/datasets/Roman190928/MathReasoning-1250000,False,
Roman190928/MathReasoning-2000000,https://huggingface.co/datasets/Roman190928/MathReasoning-2000000,False,
Roman190928/MathReasoning-150000,https://huggingface.co/datasets/Roman190928/MathReasoning-150000,False,
SoHAILkh4N/OpenMathReasoning,https://huggingface.co/datasets/SoHAILkh4N/OpenMathReasoning,False,
allenai/tulu-v2-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture,False,
