dataset_id,link,closed_model
woctordho/dataclaw,https://huggingface.co/datasets/woctordho/dataclaw,True
MRiabov/dataclaw-march-26,https://huggingface.co/datasets/MRiabov/dataclaw-march-26,True
woctordho/dataclaw-windows,https://huggingface.co/datasets/woctordho/dataclaw-windows,True
zhiyaowang/dataclaw-zhiyaowang,https://huggingface.co/datasets/zhiyaowang/dataclaw-zhiyaowang,True
tillg/dataclaw-tillg,https://huggingface.co/datasets/tillg/dataclaw-tillg,True
leoikin/dataclaw-peteromallet,https://huggingface.co/datasets/leoikin/dataclaw-peteromallet,True
Batman787/dataclaw-Batman787,https://huggingface.co/datasets/Batman787/dataclaw-Batman787,True
ajdriscod/dataclaw-peteromallet,https://huggingface.co/datasets/ajdriscod/dataclaw-peteromallet,True
sunsun123new/dataclaw-sunsun123new,https://huggingface.co/datasets/sunsun123new/dataclaw-sunsun123new,True
emperorfutures/dataclaw-code2,https://huggingface.co/datasets/emperorfutures/dataclaw-code2,True
introvoyz041/dataclaw-peteromallet,https://huggingface.co/datasets/introvoyz041/dataclaw-peteromallet,True
louyu/dataclaw-peteromallet,https://huggingface.co/datasets/louyu/dataclaw-peteromallet,True
Codingxx/dataclaw-peteromallet,https://huggingface.co/datasets/Codingxx/dataclaw-peteromallet,True
Edmon02/dataclaw-peteromallet,https://huggingface.co/datasets/Edmon02/dataclaw-peteromallet,True
peteromallet/dataclaw-peteromallet,https://huggingface.co/datasets/peteromallet/dataclaw-peteromallet,True
Vigneshwaran/dataclaw-peteromallet,https://huggingface.co/datasets/Vigneshwaran/dataclaw-peteromallet,True
parani01/dataclaw-parani01,https://huggingface.co/datasets/parani01/dataclaw-parani01,True
DJTRIXUK/dataclaw-DJTRIXUK,https://huggingface.co/datasets/DJTRIXUK/dataclaw-DJTRIXUK,True
vaynelee/dataclaw-vaynelee,https://huggingface.co/datasets/vaynelee/dataclaw-vaynelee,True
0010Grent/dataclaw-peteromallet,https://huggingface.co/datasets/0010Grent/dataclaw-peteromallet,True
arefmikati/dataclaw-peteromallet,https://huggingface.co/datasets/arefmikati/dataclaw-peteromallet,True
hitlabstudios/dataclaw-peteromallet,https://huggingface.co/datasets/hitlabstudios/dataclaw-peteromallet,True
Noah-12/dataclaw-peteromallet,https://huggingface.co/datasets/Noah-12/dataclaw-peteromallet,True
GolienHzmsr/dataclaw-GolienHzmsr,https://huggingface.co/datasets/GolienHzmsr/dataclaw-GolienHzmsr,True
AbraZero/dataclaw-peteromallet,https://huggingface.co/datasets/AbraZero/dataclaw-peteromallet,True
amine-khelif/dataclaw-peteromallet,https://huggingface.co/datasets/amine-khelif/dataclaw-peteromallet,True
nathanstvnsn/dataclaw-peteromallet,https://huggingface.co/datasets/nathanstvnsn/dataclaw-peteromallet,True
allenai/tulu-3-sft-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-mixture,False
allenai/tulu-3-sft-olmo-2-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-olmo-2-mixture,False
mesolitica/Malaysian-SFT,https://huggingface.co/datasets/mesolitica/Malaysian-SFT,True
allenai/WildChat-4.8M,https://huggingface.co/datasets/allenai/WildChat-4.8M,True
jaeyong2/functioncall-synthetic,https://huggingface.co/datasets/jaeyong2/functioncall-synthetic,True
NickyNicky/function-calling-sharegpt_chatml_gemma_agent,https://huggingface.co/datasets/NickyNicky/function-calling-sharegpt_chatml_gemma_agent,False
NickyNicky/function-calling_chatml_gemma_v1,https://huggingface.co/datasets/NickyNicky/function-calling_chatml_gemma_v1,False
NickyNicky/function_call_orpo_sft_phi3_chatML_only,https://huggingface.co/datasets/NickyNicky/function_call_orpo_sft_phi3_chatML_only,
allenai/tulu-v1-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v1-sft-mixture,False
mesolitica/Malaysian-Multiturn-Chat-Assistant,https://huggingface.co/datasets/mesolitica/Malaysian-Multiturn-Chat-Assistant,False
internlm/ARM-Thinker-Data,https://huggingface.co/datasets/internlm/ARM-Thinker-Data,True
allenai/WildChat-1M,https://huggingface.co/datasets/allenai/WildChat-1M,True
microsoft/lost_in_conversation,https://huggingface.co/datasets/microsoft/lost_in_conversation,False
allenai/WildChat-1M-Full,https://huggingface.co/datasets/allenai/WildChat-1M-Full,True
allenai/WildChat,https://huggingface.co/datasets/allenai/WildChat,True
bigcode/ta-prompt,https://huggingface.co/datasets/bigcode/ta-prompt,False
mesolitica/chatgpt4-code-instruct,https://huggingface.co/datasets/mesolitica/chatgpt4-code-instruct,True
microsoft/NextCoderDataset,https://huggingface.co/datasets/microsoft/NextCoderDataset,True
microsoft/NextCoderDataset-Conversational,https://huggingface.co/datasets/microsoft/NextCoderDataset-Conversational,True
